City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,bundaberg north,-24.8551,152.3425,17.9,96,45,0.89,AU,1682351394
261,hamilton,39.1834,-84.5333,8.29,56,100,2.57,US,1682351342
262,lorengau,-2.0226,147.2712,27.2,83,64,3.23,PG,1682351394
263,murashi,59.3999,48.9615,12.4,58,39,2.97,RU,1682351394
264,chos malal,-37.3781,-70.2709,22.55,22,0,1.53,AR,1682351394
265,carloforte,39.145,8.3058,16.86,71,51,6.23,IT,1682351394
266,galle,6.0367,80.217,27.74,79,75,1.85,LK,1682351395
267,grand baie,-20.0182,57.5802,26.92,79,64,0.89,MU,1682351395
268,dryden,49.7833,-92.7503,1.16,55,0,2.57,CA,1682351395
269,mauranwan,26.4333,80.8833,21.02,40,77,3.77,IN,1682351395
270,aswan,24.0934,32.907,37.61,11,0,7.2,EG,1682351395
271,xifeng,42.7372,124.7222,9.57,19,100,3.25,CN,1682351395
272,pozarevac,44.6153,21.1825,15.98,80,100,3.83,RS,1682351395
273,kvissleby,62.2936,17.375,1.91,82,100,3.49,SE,1682351395
274,tyre,33.2733,35.1939,23.75,67,0,2.35,LB,1682351397
275,arraial do cabo,-22.9661,-42.0278,25.98,57,75,3.09,BR,1682351397
276,gaspe,48.8334,-64.4819,2.12,87,100,4.63,CA,1682351104
277,aldinga beach,-35.2793,138.4604,21.15,58,8,3.02,AU,1682351397
278,firmat,-33.4594,-61.4832,23.21,46,100,2.63,AR,1682351397
279,kwakoa,-3.7667,37.7167,24.89,74,95,2.44,TZ,1682351397
280,college,64.8569,-147.8028,-11.82,57,75,5.14,US,1682351398
281,pervomayskoye,43.919,46.7102,14.98,70,81,2.64,RU,1682351398
282,naberera,-4.2,36.9333,19.18,86,67,3.03,TZ,1682351398
283,brookings,44.3114,-96.7984,7.19,60,0,5.66,US,1682351142
284,victoria,22.2855,114.1577,24.1,90,68,4.02,HK,1682351233
285,nyurba,63.2842,118.3319,-10.71,97,63,1.96,RU,1682351398
286,fale old settlement,-9.3852,-171.2468,27.91,75,18,2.05,TK,1682351398
287,sao vicente,-23.9631,-46.3919,29.1,50,0,3.13,BR,1682351398
288,santa eularia des riu,38.9846,1.5341,20.95,76,0,3.09,ES,1682351399
289,taunggyi,20.7833,97.0333,19.92,45,3,0.94,MM,1682351399
290,thenia,36.7254,3.5567,22.16,49,27,2.95,DZ,1682351399
291,angaur state,6.906,134.13,28.38,73,78,2.8,PW,1682351399
292,midoun,33.8081,10.9923,29.92,48,0,5.51,TN,1682351399
293,mecca,21.4267,39.8261,31.3,46,33,6.58,SA,1682351399
294,banska stiavnica,48.4486,18.91,9.71,94,100,1.43,SK,1682351399
295,iskateley,67.6803,53.1512,-4.71,88,60,3.93,RU,1682351399
296,kerikeri,-35.2268,173.9474,8.84,90,8,1.52,NZ,1682351189
297,lagos,6.5833,3.75,33.18,60,100,2.33,NG,1682351394
298,queenstown,-31.8976,26.8753,20.86,35,100,2.91,ZA,1682351399
299,intendente alvear,-35.2338,-63.592,23.22,39,99,3.47,AR,1682351399
300,hadibu,12.65,54.0333,28.76,68,41,0.23,YE,1682351400
301,verkhnevilyuysk,63.4453,120.3167,-5.07,92,99,3.62,RU,1682351400
302,shiprock,36.7855,-108.687,10.19,42,83,3.05,US,1682351400
303,oppdal,62.5943,9.6912,-0.98,94,100,3.11,NO,1682351400
304,byron bay,-28.65,153.6167,17.06,66,65,5.96,AU,1682351400
305,nidzica,53.3605,20.4275,19.77,77,100,2.21,PL,1682351401
306,colonia,50.9333,6.95,13.31,61,40,7.72,DE,1682351171
307,sisimiut,66.9395,-53.6735,1.58,94,100,1.61,GL,1682351401
308,san antonio de pale,-1.4014,5.6325,28.28,72,80,1.83,GQ,1682351401
309,baikonur,45.6167,63.3167,18.79,29,0,5.31,KZ,1682351401
310,gadzhiyevo,69.2551,33.3362,-1.75,73,27,4.59,RU,1682351401
311,salalah,17.0151,54.0924,30.05,70,20,5.14,OM,1682351402
312,staunton,38.1496,-79.0717,11.21,46,40,3.09,US,1682351402
313,lumding railway colony,25.749,93.17,20.96,71,0,0.57,IN,1682351403
314,praia da vitoria,38.7333,-27.0667,22.14,64,20,6.77,PT,1682351403
315,khandyga,62.6667,135.6,-5.27,96,100,0.76,RU,1682351403
316,mata-utu,-13.2816,-176.1745,27.38,75,100,1.8,WF,1682351404
317,vadso,70.0744,29.7487,1.09,64,20,5.14,NO,1682351404
318,tralee,52.2704,-9.7026,11.14,54,0,5.14,IE,1682351406
319,coronado,32.6859,-117.1831,16.02,80,100,3.09,US,1682351406
320,ancud,-41.8697,-73.8203,12.82,79,10,5.4,CL,1682351406
